Questions,Strongly Disagree,Disagree,Agree,Strongly Agree
"Compared to the average person, I would say I take more risk",0.01,0.33,0.66,0.99
I would be willing to risk a percentage of my income / capital in order to get a good return on an investment,0.01,0.33,0.66,0.99
Your friends would describe you as a risk taker,0.01,0.33,0.66,0.99
When I'm faced with a financial decision I am generally more concerned about the possible gains than the probable losses,0.01,0.33,0.66,0.99
I feel comfortable with financial uncertainty,0.01,0.33,0.66,0.99
